,hydrophobic_sasa,salt_bridges,packing_density,contact_order,ddG
164,13.12491,18,6.9787234042553195,0.09373643074250977,-0.1
165,57.002373,90,9.38989898989899,0.03957227544108214,1.1
166,13.284369,9,8.183098591549296,0.08007158975955178,2.3
167,10.10319,33,7.565789473684211,0.0952488981073373,-0.02769230769230763
168,10.748345,29,9.205882352941176,0.07111200644641419,1.9018793753365597
169,14.0554905,10,10.067415730337078,0.1656741573033708,-2.62
170,31.337542,35,9.897435897435898,0.02427867457310712,0.38000000000000006
171,7.7476244,14,9.09375,0.07734929078014184,1.2
172,24.326777,16,9.101449275362318,0.045125948930296755,3.1
173,23.261261,51,10.20532319391635,0.05929406700624148,1.2177777777777778
174,23.145338,49,10.144486692015208,0.06064791690027421,1.2177777777777778
175,12.192582,13,9.507692307692308,0.04445162680456798,0.6729305912596402
176,8.116238,9,8.352941176470589,0.11534025374855826,0.6938709677419356
177,18.154617,7,8.722222222222221,0.11357161357161356,1.807582417582413
178,20.068918,37,9.341666666666667,0.025365947611710325,0.05274509803921509
179,10.488432,15,10.16822429906542,0.16749519453834427,1.6658241758241767
180,15.171695,30,8.961832061068701,0.10720405937729509,0.26844444444444443
181,12.734522,12,9.38562091503268,0.0313895623325252,0.85875
182,18.900223,27,8.702290076335878,0.10079594116551853,2.8111538461538457
183,6.7484784,8,10.044444444444444,0.07825261158594492,1.5838709677419356
184,35.46184,47,9.276807980049876,0.03442750589589375,0.07999999999999999
185,20.096691,6,8.935483870967742,0.039348204660419606,1.4513548387096773
186,8.359076,17,9.444444444444445,0.15268648930620762,1.7893636363636367
187,17.577963,21,9.798657718120806,0.0561877897740168,0.6938709677419352
